country,gender,age,ethnicity,orientation,intelligence,intelligencecountry,humor,humorcountry,wealth,wealthcountry,physicalattractiveness,physicalattractivenesscountry,socialstatus,socialstatuscountry,health,healthcountry,emotionalsensitivity,emotionalsensitivitycountry,affability,affabilitycountry,southasianm,southasianmcountry,eastasianm,eastasianmcountry,americanm,americanmcountry,africanm,africanmcountry,middleeasternm,middleeasternmcountry,middleeasternw,middleeasternwcountry,africanw,africanwcountry,americanw,americanwcountry,eastasianw,eastasianwcountry,southasianw,southasianwcountry
Hong Kong,Female,18-24,East Asian,Men,6,5,4,5,3,5,4,5,3,4,3,3,4,4,2,2,4,4,4,4,2,3,2,2,2,2,,,,,,,,,,
USA,Male,31-45,East Asian,Women,5,5,5,5,4,4,4,5,4,5,3,3,4,5,2,2,,,,,,,,,,,4,4,4,4,4,4,5,5,3,3
Türkiye,Male,31-45,Beyaz,Women,7,7,7,7,7,7,7,7,7,7,3,3,5,5,2,2,,,,,,,,,,,2,2,4,4,5,5,2,2,2,2
Hong Kong,Male,18-24,East Asian,Men,5,4,3,3,5,4,2,2,5,5,3,3,5,5,2,2,2,2,4,4,5,5,1,2,3,3,,,,,,,,,,
USA,Male,31-45,White,Women,7,5,5,4,5,6,3,6,5,6,3,3,6,6,2,2,,,,,,,,,,,4,3,4,4,4,5,3,5,4,3
USA,Female,31-45,White,Men,6,4,6,5,3,6,5,7,1,5,3,3,5,3,2,2,1,1,3,2,4,5,3,3,1,1,,,,,,,,,,
Hong Kong,Female,31-45,East Asian,Women,6,5,7,4,4,7,5,6,4,7,3,3,5,3,2,2,,,,,,,,,,,2,1,3,1,3,4,3,4,3,2
Egypt,Male,25-30,Middle Eastern,Women,6,4,5,6,6,6,5,5,5,6,3,3,6,4,2,2,,,,,,,,,,,3,3,2,2,3,4,5,4,2,2
USA,Male,31-45,White,Either,6,2,6,5,4,7,4,7,3,3,3,3,6,2,2,2,3,4,,,,,4,3,,,4,4,,,4,4,4,4,,
Turkey,Female,31-45,White,Men,7,5,6,4,6,7,6,6,6,6,3,3,6,4,2,2,3,3,4,4,5,5,3,3,3,4,,,,,,,,,,
USA,Female,18-24,White,Either,7,2,7,5,2,6,5,6,1,2,3,3,5,3,2,2,2,3,,,,,4,4,,,3,2,,,2,2,4,3,,
India,Male,18-24,East Asian,Women,7,7,5,6,5,7,6,7,1,7,3,3,6,4,2,2,,,,,,,,,,,2,4,4,1,4,3,4,4,3,1
India,Male,46-60,South Asian,Women,5,4,6,6,6,7,4,5,5,6,3,3,6,4,2,2,,,,,,,,,,,5,4,3,2,4,3,4,4,5,3
India,Male,31-45,East Asian,Women,7,6,7,4,1,4,7,5,7,6,3,3,7,6,2,2,,,,,,,,,,,3,3,1,1,3,3,4,4,2,2
USA,Female,31-45,White,Men,6,4,6,5,3,6,6,7,3,6,3,3,5,3,2,2,2,1,3,3,2,3,5,5,5,5,,,,,,,,,,
USA,Female,25-30,Black,Men,6,4,5,6,4,7,4,6,2,6,3,3,6,3,2,2,3,2,1,2,2,4,5,2,4,2,,,,,,,,,,
USA,Female,46-60,White,Women,6,5,7,4,4,5,6,4,1,3,3,3,6,5,2,2,,,,,,,,,,,3,4,4,5,3,3,3,3,2,3
USA,Male,31-45,White,Women,6,4,7,6,5,6,5,6,2,4,3,3,6,5,2,2,3,3,4,3,3,3,4,4,3,2,4,3,4,3,3,3,4,4,4,3
USA,Female,61+,White,Men,6,5,6,6,4,6,6,6,6,4,3,3,6,4,2,2,5,5,4,4,4,3,4,4,5,4,,,,,,,,,,
India,Male,25-30,South Asian,Women,6,6,5,4,7,7,5,5,6,4,3,3,6,5,2,2,,,,,,,,,,,3,3,3,3,4,4,4,3,3,3
USA,Male,31-45,White,Women,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
USA,Female,18-24,White,Men,6,5,6,6,5,5,6,6,5,4,3,3,6,5,2,2,2,2,2,2,3,3,2,3,3,3,,,,,,,,,,
USA,Male,18-24,Latino/Hispanic,Women,4,5,3,4,4,5,5,5,4,5,3,3,4,3,2,2,,,,,,,,,,,4,3,4,3,3,4,4,4,2,2
India,Male,25-30,East Asian,Women,6,6,6,6,5,4,5,6,6,6,3,3,7,6,2,2,,,,,,,,,,,4,4,4,4,3,4,4,4,4,4
India,Male,31-45,South Asian,Women,6,5,5,5,5,6,5,6,5,6,3,3,6,6,2,2,,,,,,,,,,,4,3,3,3,3,4,4,3,4,4
USA,Female,31-45,White,Men,5,3,7,7,2,6,4,7,3,4,3,3,3,2,2,2,2,3,2,3,3,3,4,4,3,2,,,,,,,,,,
USA,Male,18-24,White,Women,5,4,5,5,2,6,6,7,1,2,3,3,5,4,2,2,,,,,,,,,,,1,1,2,2,3,3,4,3,2,2
USA,Male,25-30,White,Women,7,3,6,4,3,6,4,5,3,3,3,3,6,2,2,2,,,,,,,,,,,2,2,3,5,4,1,4,5,2,3
USA,Female,25-30,White,Men,6,5,4,4,4,6,5,6,4,5,3,3,6,3,2,2,2,1,3,2,4,4,3,3,2,1,,,,,,,,,,
India,Male,31-45,South Asian,Women,7,6,5,5,6,6,7,7,7,7,3,3,4,4,2,2,,,,,,,,,,,3,3,2,2,5,5,5,4,4,4
USA,Female,31-45,White,Men,4,5,4,4,4,4,4,5,3,3,3,3,5,5,2,2,2,2,3,3,4,3,2,1,1,1,,,,,,,,,,
India,Female,18-24,South Asian,Women,7,7,5,5,3,3,3,3,4,4,3,3,6,6,2,2,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
USA,Female,61+,White,Men,6,5,6,6,6,7,5,7,5,5,3,3,6,6,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
USA,Female,31-45,White,Men,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
India,Male,25-30,South Asian,Women,5,4,4,4,5,7,5,7,4,6,3,3,6,6,2,2,,,,,,,,,,,1,1,2,2,5,4,4,4,3,3
USA,Female,46-60,White,Men,6,6,6,6,2,6,2,6,7,7,3,3,6,4,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,
USA,Female,61+,White,Men,6,5,6,6,5,6,5,5,5,5,3,3,5,4,2,2,4,4,4,4,2,2,3,3,3,3,,,,,,,,,,
Turkey,Male,31-45,White,Women,5,7,5,6,5,4,3,3,5,4,3,3,5,5,2,2,,,,,,,,,,,3,3,3,3,4,3,4,3,3,3
India,Female,46-60,South Asian,Men,6,4,5,4,4,6,5,6,4,6,3,3,6,6,2,2,4,4,4,3,4,3,4,3,4,4,,,,,,,,,,
USA,Female,46-60,White,Men,6,6,6,6,6,5,6,6,4,5,3,3,5,5,2,2,2,3,3,3,3,4,4,3,1,2,,,,,,,,,,
USA,Female,46-60,White,Men,4,4,5,5,4,4,6,6,7,7,3,3,7,2,2,2,5,2,3,3,2,2,4,3,5,3,,,,,,,,,,
USA,Female,25-30,Latino/Hispanic,Men,6,5,7,6,3,6,5,6,2,5,3,3,3,4,2,2,2,2,2,3,3,4,3,4,3,2,,,,,,,,,,
USA,Female,46-60,Black,Men,6,6,7,7,4,6,7,7,2,3,3,3,5,6,2,2,4,4,3,3,5,5,4,4,3,3,,,,,,,,,,
USA,Male,46-60,White,Women,6,4,7,5,3,6,5,7,4,6,3,3,7,3,2,2,,,,,,,,,,,1,1,2,4,4,3,3,4,1,3
India,Male,25-30,East Asian,Women,7,5,5,3,5,7,7,5,1,7,3,3,6,4,2,2,,,,,,,,,,,3,4,4,2,4,5,4,3,3,1
USA,Male,31-45,White,Women,6,4,6,5,4,7,5,6,3,6,3,3,4,3,2,2,,,,,,,,,,,2,2,3,2,3,3,4,3,4,3
India,Male,18-24,South Asian,Women,4,7,3,4,7,7,6,4,7,7,3,3,7,5,2,2,,,,,,,,,,,3,3,2,2,5,5,3,3,4,4
India,Male,18-24,South Asian,Women,6,6,6,6,7,6,6,6,6,6,3,3,6,5,2,2,,,,,,,,,,,4,4,3,3,4,4,4,4,3,3
USA,Female,46-60,White,Men,6,3,6,4,3,4,5,6,3,4,3,3,5,4,2,2,2,3,2,3,3,4,2,3,2,2,3,2,3,3,3,3,3,4,3,4
Egypt,Male,18-24,Middle Eastern,Women,6,3,7,4,5,7,7,3,6,6,3,3,5,3,2,2,,,,,,,,,,,2,4,4,2,3,5,4,1,2,2
USA,Female,61+,Black,Men,7,7,6,5,4,7,5,7,5,7,3,3,2,1,2,2,5,5,4,4,4,4,5,5,4,3,,,,,,,,,,
USA,Male,46-60,South Asian,Women,6,6,5,4,5,5,6,7,4,6,3,3,5,5,2,2,,,,,,,,,,,3,3,4,3,4,4,4,5,4,3
India,Male,46-60,South Asian,Women,5,4,6,5,4,4,6,6,4,5,3,3,5,5,2,2,,,,,,,,,,,3,3,4,3,4,5,4,4,3,3
USA,Male,18-24,Black,Either,5,6,6,6,4,6,6,4,2,4,3,3,5,4,2,2,2,3,,,,,3,2,,,4,3,,,2,4,3,4,,
USA,Female,46-60,Latino/Hispanic,Men,6,7,5,5,5,5,5,5,5,5,3,3,5,5,2,2,4,4,4,4,4,4,4,4,3,3,,,,,,,,,,
USA,Female,18-24,White,Either,6,4,7,6,4,4,5,6,3,4,3,3,6,2,2,2,4,2,,,,,2,4,,,3,1,,,3,4,3,2,,
India,Female,31-45,South Asian,Men,6,6,6,6,5,6,6,6,6,6,3,3,5,6,2,2,4,4,3,3,3,3,2,2,3,3,,,,,,,,,,
USA,Female,46-60,White,Men,7,6,7,7,5,6,6,7,4,5,3,3,7,7,2,2,5,5,4,3,4,4,5,4,5,5,,,,,,,,,,
Nigeria,Male,31-45,Black,Women,7,5,7,5,7,7,7,6,4,6,3,3,5,4,2,2,,,,,,,,,,,4,4,4,4,4,4,3,3,2,1
India,Male,31-45,East Asian,Women,5,7,7,6,1,7,7,7,4,6,3,3,7,5,2,2,,,,,,,,,,,4,3,3,3,4,4,4,4,4,4
India,Male,25-30,South Asian,Women,6,3,6,3,6,7,6,6,6,7,3,3,6,2,2,2,,,,,,,,,,,3,3,2,2,3,3,4,4,2,2
India,Female,25-30,East Asian,Men,6,6,7,5,5,7,6,7,5,7,3,3,7,6,2,2,4,5,3,3,3,3,4,2,1,1,,,,,,,,,,
USA,Female,46-60,White,Men,7,5,7,5,6,7,5,7,5,6,3,3,6,4,2,2,1,2,2,2,5,5,3,3,1,1,,,,,,,,,,
USA,Female,31-45,Black,Either,7,5,7,6,4,7,6,7,1,7,3,3,6,2,2,2,3,1,,,,,5,1,,,4,1,,,3,5,4,2,,
India,Male,31-45,South Asian,Women,6,6,5,4,4,6,5,6,6,6,3,3,6,5,2,2,,,,,,,,,,,2,2,1,1,4,4,4,4,3,3
USA,Male,25-30,White,Women,5,3,3,5,3,7,6,7,1,4,3,3,1,5,2,2,,,,,,,,,,,4,3,3,4,2,4,4,3,2,3
India,Female,31-45,East Asian,Men,6,5,7,7,5,6,5,5,5,6,3,3,7,5,2,2,3,3,3,3,4,4,4,3,4,4,,,,,,,,,,
